# Bright Stars Catalog (V < 6.0)
# Source: Hipparcos, converted to J2000 (github.com/gmiller123456/hip2000)
# Format: HIP_ID,Vmag,RA_deg,Dec_deg
# Total stars: 4992
4890,5.39,15.704958,-46.397311
4903,5.95,15.726095,41.345157
4906,4.27,15.735868,7.890135
4914,5.40,15.760567,-4.836601
4962,5.92,15.904190,61.074823
4998,5.99,16.009956,52.502161
5021,5.83,16.081046,61.580184
5081,5.64,16.272315,14.946133
5131,5.33,16.420647,21.473181
5132,5.55,16.423799,21.465442
5165,3.32,16.521028,-46.718414
5164,5.58,16.521452,-9.839354
5268,5.36,16.827765,-61.775289
5296,5.71,16.942536,-9.785550
5300,5.21,16.949389,-41.486916
5310,5.56,16.988180,20.739113
5317,5.04,17.003537,43.942092
5336,5.17,17.068308,54.920340
5346,5.51,17.092493,5.649819
5348,3.94,17.096174,-55.245760
5361,5.77,17.139445,58.263449
5364,3.46,17.147465,-10.182264
5372,4.24,17.186989,86.257090
5434,4.26,17.375523,47.241792
5447,2.07,17.433015,35.620558
5454,5.57,17.455008,19.658408
5493,5.67,17.578085,42.081475
5494,5.81,17.581047,25.457763
5510,5.97,17.639801,2.445670
5518,5.32,17.663843,68.778621
5542,4.34,17.775675,55.149901
5544,5.15,17.778197,31.424736
5550,5.80,17.792823,37.724121
5566,5.56,17.856548,64.202677
5571,4.66,17.863418,21.034650
5586,4.51,17.915153,30.089638
5589,5.57,17.922507,65.018854
5594,5.93,17.931287,-2.251079
5626,5.60,18.070089,79.673963
5661,5.95,18.189304,-37.856479
5737,5.21,18.432857,7.575354
5742,4.67,18.437280,24.583713
5778,5.97,18.531790,16.133479
5799,5.14,18.600166,-7.922826
5833,5.70,18.704883,-0.973795
5862,4.97,18.796338,-45.531664
5896,4.25,18.942337,-68.875927
5926,5.87,19.049578,71.743843
5951,5.42,19.151200,-2.500368
6061,5.13,19.449816,3.614466
6193,4.74,19.866646,27.264059
6226,5.87,19.951230,-0.509029
6242,4.95,20.020484,58.231611
6315,5.23,20.280721,28.738207
6411,4.87,20.585083,45.528778
6492,5.97,20.853954,20.468967
6502,5.84,20.878990,-30.945617
6514,5.60,20.919234,37.714943
6537,3.60,21.005854,-8.183257
6564,5.92,21.085430,-6.914656
6592,5.42,21.169944,-41.492549
6631,5.92,21.272111,-64.369478
6670,4.90,21.405146,-14.598796
6686,2.66,21.453968,60.235283
6692,4.72,21.483424,68.130013
6706,5.35,21.563592,19.172346
6711,5.98,21.577858,43.457739
6732,5.50,21.673660,19.240422
6748,5.51,21.714855,-13.056512
6813,4.83,21.914091,45.406687
6867,3.41,22.091363,-43.318234
6960,5.11,22.400563,-21.629339
6999,5.27,22.525427,47.007274
7007,4.84,22.546313,6.143820
7016,5.92,22.595438,-26.207851
7078,5.82,22.807317,70.264604
7083,3.93,22.812936,-49.072702
7097,3.62,22.870873,15.345823
7118,5.79,22.930202,-30.283081
7213,5.49,23.233551,-36.865231
7251,5.69,23.357133,58.327334
7276,5.75,23.428487,-7.025341
7294,4.68,23.482820,59.232040
7321,5.90,23.569194,37.237146
7345,5.62,23.657412,-15.676359
7359,5.90,23.704441,18.460512
7447,5.95,23.978152,17.433841
7450,5.41,23.995703,-15.400183
7463,5.69,24.035457,-29.907317
7513,4.10,24.199345,41.405459
7535,5.54,24.274653,12.141535
7568,5.66,24.366674,-84.769593
7588,0.45,24.428527,-57.236757
7601,5.88,24.481514,-82.974995
7607,3.59,24.498150,48.628213
7617,5.55,24.531529,57.977631
7643,5.94,24.614519,-36.528251
7650,5.28,24.628823,73.040040
7679,5.58,24.715787,-21.275384
7719,5.01,24.837510,44.386165
7740,5.98,24.920075,16.405858
7751,5.76,24.948096,-56.196400
7818,4.96,25.145071,40.577049
7825,5.63,25.165206,43.297687
7884,4.45,25.357893,5.487613
7906,5.97,25.413486,30.047120
7916,5.75,25.436808,-11.324669
7918,4.96,25.446429,42.613369
7921,5.70,25.449865,-60.789340
7941,5.70,25.512474,-36.832305
7943,5.63,25.514543,35.245707
7955,5.25,25.535808,-32.326970
7965,5.57,25.585530,68.043021
7978,5.52,25.622149,-53.740834
7981,5.24,25.624008,20.268504
7999,4.98,25.681292,-3.690200
8016,5.18,25.732765,70.622526
8046,5.78,25.832307,60.551333
8068,4.01,25.915156,50.688732
8102,3.49,26.017012,-15.937480
8198,4.26,26.348461,9.157736
8209,5.29,26.411488,-25.052610
8230,5.37,26.496919,-5.733299
8240,5.49,26.524860,-50.816256
8241,5.04,26.526096,-53.522037
8362,5.63,26.936811,63.852501
8387,5.86,27.045570,16.955551
8404,5.91,27.108410,3.685447
8423,5.94,27.162186,37.952870
8433,5.78,27.173180,32.690210
8497,4.66,27.396261,-10.686410
8544,5.83,27.535714,22.275338
8588,5.92,27.716553,11.043378
8593,5.94,27.726812,-50.206138
8598,5.96,27.738031,51.933417
8645,3.74,27.865140,-10.335038
8704,5.53,27.997167,55.147385
8714,5.70,28.039046,50.792794
8778,5.78,28.217137,-16.929250
8796,3.42,28.270450,29.578829
8814,5.42,28.322269,40.729790
8832,3.88,28.382560,19.293852
8833,4.61,28.388960,3.187537
8837,4.39,28.411424,-46.302669
8882,5.12,28.591805,-42.496950
8886,3.35,28.598856,63.670102
8903,2.64,28.660038,20.808035
8928,4.68,28.733881,-67.647303
8993,5.76,28.962666,23.577322
9001,5.89,28.977002,37.277786
9007,3.69,28.989468,-51.608896
9009,4.97,29.000108,68.685242
9021,5.69,29.039016,37.251830
9061,4.92,29.167492,-22.526785
9095,4.82,29.292002,-47.385277
9110,5.09,29.337727,17.817532
9132,5.84,29.432267,27.804381
9153,4.79,29.482155,23.596061
9222,5.70,29.639605,49.204352
9236,2.86,29.692473,-61.569859
9307,5.89,29.898680,21.058570
9312,5.29,29.908492,64.621602
9313,5.57,29.911727,-42.030532
9326,5.43,29.942498,-20.824539
9347,3.99,30.001283,-21.077832
9353,5.89,30.038166,3.097015
9372,5.43,30.111763,-8.523873
9440,5.34,30.311346,-30.001830
9459,5.15,30.426568,-44.713509
9480,4.49,30.489386,70.907020
9487,3.82,30.511750,2.763759
9505,4.99,30.575451,54.487541
9533,5.97,30.646158,13.476716
9570,5.50,30.741482,33.284135
9572,5.87,30.744038,-15.305932
9573,5.59,30.750780,64.390018
9589,5.42,30.798541,0.128507
9598,3.95,30.858772,72.421294
9621,5.64,30.913933,25.935471
9622,5.61,30.918701,-4.103516
9631,5.96,30.950714,-0.340251
9640,2.10,30.974804,42.329725
9677,4.68,31.122660,-29.296819
9727,5.27,31.280923,77.281341
9763,5.22,31.381451,76.115060
9836,5.03,31.641356,22.648317
9884,2.01,31.793363,23.462423
9977,4.78,32.121916,37.859077
9990,5.66,32.169082,58.423601
10035,5.84,32.288719,-43.516596
10053,4.98,32.355568,25.939892
10064,3.00,32.385945,34.987297
10155,5.68,32.656654,19.500338
10212,5.64,32.837830,8.569805
10234,5.94,32.899312,-1.825429
10280,4.94,33.092834,30.303067
10296,5.96,33.156412,24.167778
10305,5.65,33.198091,-2.393637
10306,5.23,33.200356,21.210993
10320,5.27,33.226960,-30.723825
10324,4.36,33.249981,8.846717
10326,5.86,33.254113,-21.000138
10328,5.72,33.263772,15.279860
10340,4.84,33.305517,44.231652
10366,5.31,33.401426,51.065818
10418,5.57,33.560590,-67.841441
10440,5.91,33.633106,-41.166765
10513,5.67,33.869269,-67.746366
10535,5.57,33.928239,25.043043
10540,5.79,33.941875,25.782937
10559,5.25,33.984520,33.358895
10602,3.56,34.127439,-51.512165
10642,5.51,34.246018,-6.422116
10644,4.84,34.263459,34.224231
10670,4.03,34.328614,33.847194
10718,5.75,34.499532,57.899821
10723,5.60,34.505999,1.757802
10729,5.99,34.519104,57.516321
10732,5.58,34.531402,19.901164
10793,5.29,34.737472,28.642674
10819,5.31,34.819983,47.379973
10871,5.81,34.976129,-55.944796
10944,5.57,35.242534,50.151466
11001,4.08,35.437261,-68.659418
11021,5.29,35.485947,0.395675
11029,5.43,35.506382,-10.777534
11033,5.89,35.520761,-17.662169
11046,5.42,35.551652,-0.884852
11060,5.16,35.589311,55.845653
11072,5.19,35.635612,-23.816326
11090,5.81,35.709601,41.396297
11095,5.99,35.717938,-73.645792
11102,5.90,35.727812,-51.092129
11220,5.19,36.103818,50.006546
11249,5.48,36.204401,10.610565
11258,5.36,36.224628,-60.311948
11313,4.73,36.405928,50.278631
11345,4.88,36.487522,-12.290480
11348,5.88,36.501455,-15.341247
11381,5.89,36.646740,-20.042617
11407,4.24,36.746343,-47.703840
11432,5.55,36.865715,31.801280
11477,5.13,37.007096,-33.811039
11484,4.30,37.039760,8.460054
11486,5.29,37.041585,29.669330
11548,5.89,37.202061,29.931760
11569,4.46,37.266441,67.402474
11670,5.88,37.634808,25.235036
11738,5.27,37.875398,2.267182
11757,5.27,37.918934,-79.109382
11767,1.97,37.954515,89.264110
11783,4.74,38.021785,-15.244677
11784,5.15,38.025710,36.147271
11791,5.36,38.039254,-1.034896
11840,5.84,38.219247,34.542410
11867,5.91,38.279277,-34.649967
11918,4.96,38.461267,-28.232343
12002,5.74,38.677605,-7.859445
12072,5.72,38.911424,37.312263
12086,5.38,38.945047,34.687558
12093,4.87,38.968634,5.593246
12107,5.53,39.000201,-7.831597
12114,5.79,39.020391,6.886870
12122,5.74,39.038607,-30.044978
12148,5.81,39.146128,7.730026
12153,5.64,39.157982,12.447639
12181,5.91,39.238282,38.733581
12186,5.78,39.244200,-34.577977
12225,5.30,39.351548,-52.543086
12239,5.80,39.400283,65.745336
12247,5.65,39.424168,-3.396175
12273,5.17,39.508463,72.818252
12288,5.84,39.577759,-30.194063
12332,5.45,39.704144,21.961408
12387,4.08,39.870653,0.328511
12390,4.83,39.890976,-11.872156
12394,4.12,39.897339,-68.266946
12413,4.74,39.949969,-42.891670
12444,5.79,40.051758,-9.452875
12484,5.21,40.165054,-54.549911
12486,4.11,40.166810,-39.855376
12489,5.30,40.171148,27.060943
12530,5.72,40.308327,-0.695653
12562,5.98,40.392204,-14.549276
12608,5.99,40.527528,-38.383686
12623,4.91,40.562150,40.193944
12640,5.74,40.591415,20.011465
12653,5.40,40.639444,-50.800294
12686,5.85,40.748014,53.526105
12692,5.76,40.761826,55.106019
12706,3.47,40.825162,3.235819
12719,4.65,40.862970,27.707147
12768,5.43,41.021499,44.297040
12770,4.24,41.030625,-13.858696
12777,4.10,41.049943,49.228448
12803,5.78,41.137391,15.311862
12821,5.95,41.207071,67.824630
12828,4.27,41.235593,10.114146
12832,5.17,41.239923,12.445761
12843,4.47,41.275771,-18.572563
12871,5.73,41.364492,-63.704553
12876,4.83,41.385977,-67.616617
13055,5.80,41.948785,81.448475
13061,4.52,41.977253,29.247118
13108,5.83,42.133705,18.283791
13121,5.89,42.191268,25.188064
13141,5.25,42.256198,-62.806522
13147,4.45,42.272581,-32.405898
13165,5.26,42.323166,17.464309
13202,5.39,42.475758,-27.941982
13209,3.61,42.495968,27.260507
13225,5.92,42.561600,-35.843637
13244,4.76,42.618583,-75.066947
13254,4.22,42.646082,38.318644
13265,5.48,42.668361,-35.675849
13268,3.77,42.674209,55.895496
13288,4.76,42.759673,-21.004019
13327,5.52,42.873278,15.082071
13328,4.56,42.878490,35.059741
13339,5.86,42.923875,46.841939
13367,5.94,42.994799,68.888497
13473,5.93,43.393321,-38.437004
13479,5.93,43.397179,-22.376308
13490,5.34,43.427557,38.337488
13531,3.93,43.564419,52.762479
13654,5.76,43.952074,18.331640
13665,5.59,43.987169,61.521138
13679,5.97,44.057374,8.381563
13701,3.89,44.106874,-8.898144
13702,5.58,44.108979,18.023119
13717,5.16,44.155934,-3.712320
13775,5.10,44.322011,31.934219
13782,5.44,44.349025,-23.862164
13834,5.80,44.521756,20.668733
13835,5.82,44.523891,-23.606012
13847,2.88,44.565311,-40.304672
13874,5.22,44.675320,-2.782877
13879,4.68,44.690292,39.662729
13884,4.98,44.699153,-64.071284
13905,4.94,44.765319,35.183128
13914,4.63,44.803024,21.340429
13942,5.69,44.900761,-25.274133
13949,5.89,44.916164,41.032941
13951,5.56,44.921499,-2.464952
13954,4.71,44.928757,8.907365
13965,5.47,44.957470,47.220693
14036,5.93,45.183923,10.870388
14043,5.24,45.217558,52.351744
14060,5.75,45.291767,-7.663012
14086,5.88,45.406823,-28.091554
14109,5.91,45.475589,26.462354
14110,5.84,45.483829,-9.961407
14131,5.51,45.564368,-71.902457
14135,2.54,45.569884,4.089734
14143,5.62,45.593825,4.352884
14146,4.08,45.597917,-23.624472
14168,5.32,45.676145,-7.685472
14187,5.81,45.732762,-46.975036
14240,5.12,45.903414,-59.737775
14293,5.26,46.068816,-7.600857
14328,2.91,46.199128,53.506440
14354,3.32,46.294139,38.840274
14376,5.45,46.361208,25.255175
14382,4.77,46.385047,56.705719
14417,5.49,46.532675,79.418535
14439,5.64,46.598690,13.187250
14456,5.23,46.639551,-6.088555
14502,5.89,46.829161,64.057594
14521,5.67,46.883926,-78.989244
14576,2.09,47.042215,40.955648
14632,4.05,47.266749,49.613278
14668,3.79,47.374048,44.857544
14677,5.74,47.403093,29.077080
14764,5.97,47.661640,11.872627
14817,4.61,47.822423,39.611582
14838,4.35,47.907356,19.726677
14844,5.92,47.927805,81.470710
14862,4.85,47.984458,74.393659
14879,3.80,48.018866,-28.987618
14893,5.78,48.059360,27.256968
14913,5.92,48.107277,-44.419660
14915,5.55,48.109855,6.660883
14930,5.71,48.138167,-57.321549
14954,5.07,48.193485,-1.196101
15004,5.93,48.349471,48.176953
15110,4.87,48.725400,21.044441
15154,5.61,48.835152,30.556689
15192,5.79,48.949877,57.140620
15197,4.80,48.958436,-8.819730
15201,5.51,48.990252,-77.388454
15219,5.04,49.050848,50.937664
15241,5.98,49.146623,32.184018
15305,5.84,49.360817,-47.751664
15330,5.53,49.442348,-62.575322
15334,5.97,49.440642,39.283373
15338,5.49,49.447306,44.025024
15357,5.93,49.510814,-28.797075
15371,5.24,49.553412,-62.506363
15382,4.86,49.592098,-22.511118
15383,5.62,49.593440,-0.930288
15404,5.16,49.657256,50.222174
15411,5.72,49.671455,-18.559794
15416,4.85,49.682604,34.222653
15444,5.05,49.781829,50.094966
15457,4.84,49.840400,3.370198
15474,3.70,49.879175,-21.757864
15479,5.63,49.895446,-24.122902
15510,4.26,49.981878,-43.069783
15514,5.91,49.982486,27.071134
15520,4.74,49.996970,65.652292
15547,5.44,50.082328,77.734741
15549,4.47,50.084837,29.048458
15619,5.70,50.278347,3.675620
15627,5.27,50.306769,21.147086
15643,5.50,50.350042,-23.635135
15648,4.96,50.360661,43.329651
15669,5.94,50.468887,49.070905
15696,5.55,50.549556,27.607553
15737,5.10,50.688506,20.742069
15770,5.32,50.804979,49.213269
15861,5.50,51.076979,24.724063
15863,1.79,51.080710,49.861180
15876,5.78,51.123756,33.535962
15890,5.13,51.168987,64.585996
15900,3.61,51.203307,9.028870
15968,5.96,51.401053,-69.336436
16029,5.93,51.593853,-27.317479
16083,3.73,51.792303,9.732680
16112,5.71,51.889254,-35.681323
16142,5.74,52.003947,-11.286600
16147,4.99,52.012790,49.062866
16168,5.72,52.086249,33.807557
16210,5.58,52.218031,49.848384
16228,4.21,52.267223,59.940330
16244,4.67,52.341876,49.508948
16245,4.71,52.344490,-62.937527
16263,5.57,52.400113,-12.674737
16281,4.55,52.478099,58.878750
16285,5.76,52.479782,-42.634256
16290,5.68,52.495389,-78.351850
16292,5.09,52.500765,55.451808
16322,5.14,52.601954,11.336442
16335,4.36,52.643682,47.995216
16339,5.98,52.653975,-47.375125
16340,5.82,52.653961,48.103596
16341,4.74,52.654407,-5.075145
16358,5.93,52.689250,6.188703
16368,5.81,52.715447,-66.489714
16369,4.14,52.718243,12.936678
16470,5.47,53.035837,48.023476
16489,5.62,53.083855,84.911040
16499,5.30,53.109416,46.056862
16509,5.67,53.145012,-50.378646
16511,5.76,53.149788,9.373438
16518,5.91,53.166737,35.461729
16537,3.72,53.232684,-9.458262
16591,5.79,53.395981,39.899479
16599,5.98,53.412750,54.974857
16611,4.26,53.446984,-21.632883
16664,5.95,53.610937,24.464393
16780,5.56,53.990276,-11.193782
16803,5.24,54.072552,-17.467065
16826,4.32,54.122412,48.192634
16846,5.82,54.197040,0.587758
16852,4.29,54.218263,0.401662
16870,4.57,54.273668,-40.274545
16989,5.86,54.621890,-7.391863
17027,5.97,54.754657,-5.626210
17103,5.55,54.963009,3.056863
17167,5.53,55.159722,-5.210706
17203,5.55,55.282742,37.580198
17296,5.06,55.538854,63.216806
17304,4.99,55.562095,-31.938361
17309,5.68,55.578952,19.700254
17313,4.97,55.594361,33.965026
17342,5.74,55.678062,59.969391
17351,4.59,55.708564,-37.313518
17358,3.01,55.731262,47.787551
17378,3.52,55.812091,-9.763395
17395,5.59,55.890974,-10.485661
17440,3.84,56.049906,-64.806903
17448,3.84,56.079717,32.288248
17457,5.24,56.127125,-1.163091
17460,5.60,56.130966,36.460103
17489,5.45,56.200898,24.289470
17499,3.72,56.218905,24.113339
17506,5.56,56.235408,-0.296720
17527,5.66,56.290579,24.839260
17529,3.77,56.298466,42.578549
17531,4.30,56.302060,24.467278
17534,5.72,56.316152,-47.359476
17563,5.34,56.418510,6.049991
17573,3.87,56.456694,24.367749
17579,5.76,56.476985,24.554511
17584,5.66,56.496916,45.681900
17585,5.79,56.503914,67.201605
17587,4.78,56.509714,63.345047
17593,4.43,56.535565,-12.101589
17595,5.91,56.539012,6.803521
17608,4.14,56.581558,23.948358
17618,5.91,56.614286,-29.338157
17651,4.22,56.712031,-23.249723
17678,3.26,56.809755,-74.238962
17702,2.85,56.871152,24.105137
17717,5.24,56.915212,-23.874677
17738,5.52,56.983503,-30.167882
17771,5.08,57.067787,11.143294
17776,5.44,57.086735,23.421250
17798,5.81,57.148768,-20.902977
17797,4.30,57.149495,-37.620155
17805,5.91,57.162311,0.227857
17846,5.95,57.283821,43.963095
17847,3.62,57.290594,24.053415
17851,5.05,57.296734,24.136712
17854,5.40,57.307242,70.871050
17874,4.17,57.363521,-36.200250
17884,4.39,57.380341,65.525972
17886,5.14,57.386208,33.091382
17891,5.82,57.402492,63.296967
17932,5.65,57.518418,44.967856
17954,5.24,57.578910,25.579362
17959,4.59,57.589621,71.332266
18081,5.78,57.973831,34.359119
18089,5.66,58.000954,6.534907
18141,5.48,58.173566,-5.361259
18170,5.97,58.291860,17.327083
18199,5.93,58.388829,-46.893674
18212,5.76,58.411264,48.650495
18213,5.11,58.412279,-34.732297
18216,4.64,58.427928,-24.612230
18217,5.80,58.430359,57.975141
18246,2.84,58.533006,31.883636
18255,4.46,58.572925,-2.954730
18262,5.70,58.596507,-40.357009
18339,5.99,58.817200,-12.099105
18396,5.39,58.992388,47.871420
18434,5.49,59.119541,35.080899
18453,5.28,59.152177,50.695381
18471,5.62,59.216986,22.477971
18488,4.99,59.284536,61.108883
18505,4.95,59.356022,63.072264
18532,2.90,59.463461,40.010215
18543,2.97,59.507360,-13.508515
18597,4.56,59.686456,-61.400186
18606,5.85,59.718308,-5.469947
18614,3.98,59.741255,35.791033
18647,5.61,59.875549,-12.574425
18673,4.62,59.981181,-24.016215
18723,5.93,60.169398,-30.490697
18724,3.41,60.170066,12.490347
18735,5.89,60.203189,18.194000
18744,4.48,60.224197,-62.159284
18772,4.97,60.325631,-61.078822
18788,5.28,60.383542,-1.549660
18805,5.67,60.442235,9.998017
18859,5.38,60.653104,-0.268923
18907,3.91,60.789084,5.989305
18957,5.32,60.935852,5.435624
18975,5.45,60.985851,8.197269
18993,5.36,61.041146,2.826947
19009,5.46,61.090306,24.105993
19011,5.62,61.094650,-12.792295
19018,5.00,61.113173,59.155507
19038,4.36,61.173815,22.081926
19076,5.90,61.334409,22.008905
19095,5.59,61.405983,-27.651807
19129,5.88,61.513259,68.679973
19167,4.25,61.646014,50.351262
19171,5.18,61.651719,27.599903
19205,5.21,61.751894,29.001300
19284,5.89,61.997567,17.339897
19335,5.52,62.152568,38.039733
19343,3.96,62.165378,47.712513
19376,5.94,62.256540,13.398281
19388,5.51,62.291530,19.609217
19398,5.45,62.324315,-16.385875
19454,5.84,62.506826,86.626139
19461,5.10,62.511433,80.698681
19483,5.44,62.593841,-6.923852
19511,5.70,62.699020,-8.819814
19513,5.39,62.707754,26.480952
19515,4.93,62.710789,-41.993573
19525,5.75,62.745921,33.586792
19554,5.71,62.834507,5.523047
19571,5.80,62.900850,-20.356157
19587,4.04,62.966418,-6.837581
19719,5.29,63.387933,7.716045
19740,4.84,63.484939,9.263824
19747,3.85,63.500476,-42.294368
19777,4.87,63.598703,-10.256283
19780,3.33,63.606182,-62.473858
19799,5.22,63.650976,10.011406
19805,5.45,63.702273,-62.191811
19811,4.67,63.722157,40.483671
19812,4.12,63.724426,48.409331
19849,4.43,63.818001,-7.652871
19860,4.27,63.883572,8.892357
19893,4.26,64.006607,-51.486648
19921,4.44,64.120953,-59.302156
19949,5.20,64.179535,53.611799
19968,5.69,64.223148,61.849989
19983,5.72,64.283745,57.860355
19990,4.93,64.315253,20.578591
19996,5.95,64.330092,-6.472178
20020,5.88,64.417802,-63.255405
20042,3.55,64.473593,-33.798348
20049,5.67,64.496974,-80.214033
20070,4.60,64.560908,50.295502
20087,5.64,64.596676,21.579297
20156,5.46,64.805164,50.048695
20161,5.33,64.819569,-44.267919
20171,5.50,64.858739,21.142307
20186,5.34,64.902940,21.773491
20205,3.65,64.948349,15.627642
20219,5.58,64.990434,14.035201
20234,5.55,65.047970,50.920933
